Неделя;2026-W17
Дата;Время;Имя;Возраст;Пол;SessionID;Событие;Экран;Тест;Этап;Действие;Длительность_мс;X;Y;Крен;Значение;Примечание
25.04.2026;13:14:01;цу;44;Мужской;20260425_131145_607374;stage_report;method_a;method_a_stage;3;stage_end;60014;9.9229;2.7143;30.5731;1;"axes=X,Y,Z; gamma=1.7321; h=0.0000; tr=30.5731"
25.04.2026;13:14:01;цу;44;Мужской;20260425_131145_607374;method_session;method_a;method_a;;completed;;;;;;json=method_a_results_20260425_131145_607374.json
25.04.2026;13:14:03;цу;44;Мужской;20260425_131145_607374;summary;test_menu;method_a;;session_finished;;;;;3;Методика А завершена, данные добавлены в participants.csv и user_progress.json
25.04.2026;13:14:04;цу;44;Мужской;20260425_131145_607374;menu_event;test_menu;test_a;;marked_completed;;;;;;Тест А завершён и сохранён.
25.04.2026;13:18:37;35;55;Мужской;20260425_131837_485032;registration;start_page;;;submit;;;;;;Регистрационная форма принята. completed=-
25.04.2026;13:18:37;35;55;Мужской;20260425_131837_485032;menu_event;test_menu;;;open_menu;;;;;;next=A
25.04.2026;13:18:38;35;55;Мужской;20260425_131837_485032;menu_event;test_menu;test_a;;launch_requested;;;;;;Слежение за объектом
25.04.2026;13:18:40;35;55;Мужской;20260425_131837_485032;method_session;method_a;method_a;;launch;;;;;;"Крен управляется колесом мыши; фон неба и объект-самолёт активированы"
25.04.2026;13:18:40;35;55;Мужской;20260425_131837_485032;stage_event;method_a;method_a_stage;1;stage_start;;;;;;axes=X
25.04.2026;13:18:47;35;55;Мужской;20260425_131837_485032;stage_event;method_a;method_a_stage;1;crash;5586;449.725;14.585;0.0;1;"axes=X; y_tek=11.5449; y_sigma=14.5848; step=0.50s"
25.04.2026;13:19:11;35;55;Мужской;20260425_131837_485032;stage_report;method_a;method_a_stage;1;stage_end;30002;3.3114;1.7077;0.8306;1;"axes=X; gamma=0.9406; h=0.0594; tr=0.8306"
25.04.2026;13:19:11;35;55;Мужской;20260425_131837_485032;stage_event;method_a;method_a_stage;2;stage_start;;;;;;axes=X,Y
25.04.2026;13:19:39;35;55;Мужской;20260425_131837_485032;stage_event;method_a;method_a_stage;2;crash;26282;-461.928;28.786;0.0;1;"axes=X,Y; y_tek=7.1215; y_sigma=28.7856; step=0.50s"
25.04.2026;13:19:40;35;55;Мужской;20260425_131837_485032;stage_event;method_a;method_a_stage;2;crash;27582;-212.704;35.226;0.0;2;"axes=X,Y; y_tek=13.7341; y_sigma=35.2263; step=0.50s"
25.04.2026;13:19:41;35;55;Мужской;20260425_131837_485032;stage_event;method_a;method_a_stage;2;crash;28431;449.29;39.013;0.0;3;"axes=X,Y; y_tek=7.9407; y_sigma=39.0134; step=0.50s"
25.04.2026;13:19:52;35;55;Мужской;20260425_131837_485032;stage_report;method_a;method_a_stage;2;stage_end;40006;4.6684;1.5972;0.7275;3;"axes=X,Y; gamma=1.4113; h=0.0041; tr=0.7275"
