Неделя;2026-W17
Дата;Время;Имя;Возраст;Пол;SessionID;Событие;Экран;Тест;Этап;Действие;Длительность_мс;X;Y;Крен;Значение;Примечание
25.04.2026;15:23:19;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;1;crash;19970;-459.915;9.29;0.0;5;"axes=X; Scur=1.0000; Ssum=9.2902; lambda=1.0000"
25.04.2026;15:23:29;вае;33;Мужской;20260425_152255_096151;stage_report;method_a;method_a_stage;1;stage_end;30005;1.0278;0.1962;0.0;5;"axes=X; gamma=0.8038; h=0.1962; tr=0.0000"
25.04.2026;15:23:29;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;stage_start;;;;;;axes=X,Y
25.04.2026;15:23:51;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;21495;464.437;3.874;0.0;1;"axes=X,Y; Scur=1.0271; Ssum=3.8737; lambda=1.8856"
25.04.2026;15:23:54;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;24335;467.533;5.959;0.0;2;"axes=X,Y; Scur=1.1168; Ssum=5.9586; lambda=1.4142"
25.04.2026;15:23:55;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;24889;445.365;5.96;0.0;3;"axes=X,Y; Scur=1.0000; Ssum=5.9598; lambda=1.4142"
25.04.2026;15:23:56;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;26000;-472.276;7.159;0.0;4;"axes=X,Y; Scur=1.0478; Ssum=7.1586; lambda=1.4142"
25.04.2026;15:23:56;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;26553;-451.55;7.754;0.0;5;"axes=X,Y; Scur=1.0000; Ssum=7.7540; lambda=1.4142"
25.04.2026;15:23:59;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;28869;165.883;8.248;0.0;6;"axes=X,Y; Scur=1.0301; Ssum=8.2480; lambda=1.4142"
25.04.2026;15:23:59;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;29390;453.396;8.248;0.0;7;"axes=X,Y; Scur=1.0081; Ssum=8.2480; lambda=1.4142"
25.04.2026;15:24:00;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;29960;222.716;8.375;0.0;8;"axes=X,Y; Scur=1.0771; Ssum=8.3748; lambda=1.4142"
25.04.2026;15:24:00;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;30435;467.949;8.375;0.0;9;"axes=X,Y; Scur=1.0019; Ssum=8.3748; lambda=1.4142"
25.04.2026;15:24:01;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;30958;-477.732;8.506;0.0;10;"axes=X,Y; Scur=1.0000; Ssum=8.5060; lambda=1.4142"
25.04.2026;15:24:02;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;31841;468.283;8.952;0.0;11;"axes=X,Y; Scur=1.0044; Ssum=8.9516; lambda=1.4142"
25.04.2026;15:24:03;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;32728;-449.971;9.389;0.0;12;"axes=X,Y; Scur=1.0000; Ssum=9.3893; lambda=1.4142"
25.04.2026;15:24:05;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;34993;457.772;10.229;0.0;13;"axes=X,Y; Scur=1.4081; Ssum=10.2294; lambda=1.4142"
25.04.2026;15:24:06;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;35909;-235.667;10.769;0.0;14;"axes=X,Y; Scur=1.0906; Ssum=10.7694; lambda=1.4142"
25.04.2026;15:24:07;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;2;crash;36808;257.435;11.209;0.0;15;"axes=X,Y; Scur=1.1153; Ssum=11.2093; lambda=1.4142"
25.04.2026;15:24:10;вае;33;Мужской;20260425_152255_096151;stage_report;method_a;method_a_stage;2;stage_end;40003;1.4908;0.1997;0.0;15;"axes=X,Y; gamma=0.8003; h=0.1997; tr=0.0000"
25.04.2026;15:24:10;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;stage_start;;;;;;axes=X,Y,Z
25.04.2026;15:24:33;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;21693;-460.319;14.922;-27.734;1;"axes=X,Y,Z; Scur=1.1597; Ssum=14.9221; lambda=2.3094"
25.04.2026;15:24:33;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;22407;-459.066;14.922;4.284;2;"axes=X,Y,Z; Scur=1.1013; Ssum=14.9221; lambda=1.7321"
25.04.2026;15:24:34;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;22818;447.479;14.938;2.466;3;"axes=X,Y,Z; Scur=1.0352; Ssum=14.9384; lambda=1.7321"
25.04.2026;15:24:35;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;23759;471.838;15.611;5.646;4;"axes=X,Y,Z; Scur=1.2094; Ssum=15.6112; lambda=1.7321"
25.04.2026;15:24:35;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;24417;-531.346;15.776;3.948;5;"axes=X,Y,Z; Scur=1.0212; Ssum=15.7762; lambda=1.7321"
25.04.2026;15:24:36;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;24704;470.467;15.776;1.722;6;"axes=X,Y,Z; Scur=1.0927; Ssum=15.7762; lambda=1.7321"
25.04.2026;15:24:37;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;25683;473.161;16.243;5.874;7;"axes=X,Y,Z; Scur=1.0005; Ssum=16.2429; lambda=1.7321"
25.04.2026;15:24:38;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;27067;-482.71;17.156;8.304;8;"axes=X,Y,Z; Scur=1.1696; Ssum=17.1563; lambda=1.7321"
25.04.2026;15:24:38;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;27378;446.796;17.156;1.866;9;"axes=X,Y,Z; Scur=1.0000; Ssum=17.1563; lambda=1.7321"
25.04.2026;15:24:39;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;28115;-458.857;17.72;4.422;10;"axes=X,Y,Z; Scur=1.0000; Ssum=17.7200; lambda=1.7321"
25.04.2026;15:24:39;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;28409;476.227;17.72;1.764;11;"axes=X,Y,Z; Scur=1.0000; Ssum=17.7200; lambda=1.7321"
25.04.2026;15:24:39;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;28506;469.842;18.253;0.582;12;"axes=X,Y,Z; Scur=1.0000; Ssum=18.2526; lambda=1.7321"
25.04.2026;15:24:40;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;28817;-467.263;18.253;1.866;13;"axes=X,Y,Z; Scur=1.0000; Ssum=18.2526; lambda=1.7321"
25.04.2026;15:24:40;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;29044;445.802;18.755;1.362;14;"axes=X,Y,Z; Scur=1.0015; Ssum=18.7551; lambda=1.7321"
25.04.2026;15:24:41;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;30465;-477.718;19.178;8.526;15;"axes=X,Y,Z; Scur=1.0037; Ssum=19.1779; lambda=1.7321"
25.04.2026;15:24:42;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;30790;509.97;19.243;1.95;16;"axes=X,Y,Z; Scur=1.0056; Ssum=19.2426; lambda=1.7321"
25.04.2026;15:24:46;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;34905;465.58;22.813;24.69;17;"axes=X,Y,Z; Scur=1.2854; Ssum=22.8134; lambda=1.7321"
25.04.2026;15:24:50;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;39592;-252.564;25.874;-28.122;18;"axes=X,Y,Z; Scur=0.6262; Ssum=25.8740; lambda=1.7321"
25.04.2026;15:24:52;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;40902;-452.792;26.588;-7.86;19;"axes=X,Y,Z; Scur=1.0275; Ssum=26.5881; lambda=1.7321"
25.04.2026;15:24:52;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;41500;-445.636;27.664;-3.588;20;"axes=X,Y,Z; Scur=1.0889; Ssum=27.6641; lambda=1.7321"
25.04.2026;15:24:53;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;42011;149.232;28.498;-3.066;21;"axes=X,Y,Z; Scur=1.0202; Ssum=28.4982; lambda=1.7321"
25.04.2026;15:24:53;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;42506;-29.997;29.203;-2.97;22;"axes=X,Y,Z; Scur=1.0000; Ssum=29.2026; lambda=1.7321"
25.04.2026;15:24:55;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;44088;33.171;30.267;-9.492;23;"axes=X,Y,Z; Scur=1.0000; Ssum=30.2668; lambda=1.7321"
25.04.2026;15:24:56;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;44687;86.375;30.384;-3.594;24;"axes=X,Y,Z; Scur=1.0005; Ssum=30.3841; lambda=1.7321"
25.04.2026;15:24:56;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;45197;-81.182;30.561;-3.06;25;"axes=X,Y,Z; Scur=1.0002; Ssum=30.5611; lambda=1.7321"
25.04.2026;15:24:57;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;46552;448.661;32.062;-8.13;26;"axes=X,Y,Z; Scur=1.0241; Ssum=32.0617; lambda=1.7321"
25.04.2026;15:24:58;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;47097;456.6;32.894;-3.264;27;"axes=X,Y,Z; Scur=1.1771; Ssum=32.8937; lambda=1.7321"
25.04.2026;15:24:59;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;47921;-453.149;33.373;-4.944;28;"axes=X,Y,Z; Scur=1.0098; Ssum=33.3731; lambda=1.7321"
25.04.2026;15:24:59;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;48469;450.16;33.501;-3.288;29;"axes=X,Y,Z; Scur=1.4050; Ssum=33.5014; lambda=1.7321"
25.04.2026;15:25:00;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;48720;-467.973;33.501;-1.506;30;"axes=X,Y,Z; Scur=1.0001; Ssum=33.5014; lambda=1.7321"
25.04.2026;15:25:01;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;49630;489.002;34.213;-4.056;31;"axes=X,Y,Z; Scur=1.4134; Ssum=34.2133; lambda=1.7321"
25.04.2026;15:25:02;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;50637;451.283;34.602;6.042;32;"axes=X,Y,Z; Scur=1.0429; Ssum=34.6020; lambda=1.7321"
25.04.2026;15:25:02;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;51260;-464.322;34.671;3.738;33;"axes=X,Y,Z; Scur=1.0000; Ssum=34.6706; lambda=1.7321"
25.04.2026;15:25:03;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;51621;457.244;34.671;2.166;34;"axes=X,Y,Z; Scur=1.0000; Ssum=34.6706; lambda=1.7321"
25.04.2026;15:25:03;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;51981;-462.878;34.671;2.16;35;"axes=X,Y,Z; Scur=1.0000; Ssum=34.6706; lambda=1.7321"
25.04.2026;15:25:04;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;52675;452.011;34.775;4.164;36;"axes=X,Y,Z; Scur=1.1090; Ssum=34.7751; lambda=1.7321"
25.04.2026;15:25:04;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;52871;-490.021;34.775;1.176;37;"axes=X,Y,Z; Scur=1.0000; Ssum=34.7751; lambda=1.7321"
25.04.2026;15:25:04;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;53150;445.918;34.775;1.674;38;"axes=X,Y,Z; Scur=1.0321; Ssum=34.7751; lambda=1.7321"
25.04.2026;15:25:05;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;53995;160.484;34.775;5.07;39;"axes=X,Y,Z; Scur=1.0267; Ssum=34.7751; lambda=1.7321"
25.04.2026;15:25:05;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;54322;-465.201;34.966;1.962;40;"axes=X,Y,Z; Scur=1.0000; Ssum=34.9664; lambda=1.7321"
25.04.2026;15:25:06;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;54606;517.178;35.223;1.704;41;"axes=X,Y,Z; Scur=1.0796; Ssum=35.2233; lambda=1.7321"
25.04.2026;15:25:06;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;54902;-458.409;35.223;1.776;42;"axes=X,Y,Z; Scur=1.0547; Ssum=35.2233; lambda=1.7321"
25.04.2026;15:25:07;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;55941;-475.368;35.974;6.234;43;"axes=X,Y,Z; Scur=1.0070; Ssum=35.9745; lambda=1.7321"
25.04.2026;15:25:07;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;56410;-326.765;36.097;2.814;44;"axes=X,Y,Z; Scur=1.2097; Ssum=36.0970; lambda=1.7321"
25.04.2026;15:25:07;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;56536;453.294;36.6;0.756;45;"axes=X,Y,Z; Scur=1.0000; Ssum=36.6002; lambda=1.7321"
25.04.2026;15:25:08;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;56647;455.904;36.6;0.666;46;"axes=X,Y,Z; Scur=1.0001; Ssum=36.6002; lambda=1.7321"
25.04.2026;15:25:08;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;57434;481.348;36.646;4.722;47;"axes=X,Y,Z; Scur=1.0298; Ssum=36.6465; lambda=1.7321"
25.04.2026;15:25:09;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;3;crash;58508;-488.446;37.971;6.444;48;"axes=X,Y,Z; Scur=1.0272; Ssum=37.9705; lambda=1.7321"
25.04.2026;15:25:11;вае;33;Мужской;20260425_152255_096151;stage_report;method_a;method_a_stage;3;stage_end;60010;1.7994;0.413;0.0;48;"axes=X,Y,Z; gamma=0.5870; h=0.4130; tr=0.0000"
25.04.2026;15:25:11;вае;33;Мужской;20260425_152255_096151;method_session;method_a;method_a;;completed;;;;;;json=method_a_results_20260425_152255_096151.json
25.04.2026;15:25:12;вае;33;Мужской;20260425_152255_096151;summary;test_menu;method_a;;session_finished;;;;;3;Методика А завершена, данные добавлены в participants.csv и user_progress.json
25.04.2026;15:25:14;вае;33;Мужской;20260425_152255_096151;menu_event;test_menu;test_a;;marked_completed;;;;;;Тест А завершён и сохранён.
25.04.2026;15:29:28;ку;44;Мужской;20260425_152928_138297;registration;start_page;;;submit;;;;;;Регистрационная форма принята. completed=-
25.04.2026;15:29:28;ку;44;Мужской;20260425_152928_138297;menu_event;test_menu;;;open_menu;;;;;;next=A
25.04.2026;15:29:29;ку;44;Мужской;20260425_152928_138297;menu_event;test_menu;test_a;;launch_requested;;;;;;Слежение за объектом
25.04.2026;15:29:31;ку;44;Мужской;20260425_152928_138297;method_session;method_a;method_a;;launch;;;;;;"Крен управляется колесом мыши; фон неба и объект-самолёт активированы"
25.04.2026;15:29:31;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;stage_start;;;;;;axes=X
25.04.2026;15:29:39;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;6665;457.625;5.983;0.0;1;"axes=X; Scur=1.0000; Ssum=5.9829; lambda=1.0000"
25.04.2026;15:29:40;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;7564;447.583;7.64;0.0;2;"axes=X; Scur=1.0000; Ssum=7.6403; lambda=1.0000"
25.04.2026;15:29:40;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;8414;455.711;7.971;0.0;3;"axes=X; Scur=1.0000; Ssum=7.9714; lambda=1.0000"
25.04.2026;15:29:41;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;9360;445.593;10.306;0.0;4;"axes=X; Scur=1.0000; Ssum=10.3055; lambda=1.0000"
25.04.2026;15:29:42;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;10307;-486.507;11.187;0.0;5;"axes=X; Scur=1.0000; Ssum=11.1870; lambda=1.0000"
25.04.2026;15:29:43;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;11120;-485.621;12.41;0.0;6;"axes=X; Scur=1.0000; Ssum=12.4098; lambda=1.0000"
25.04.2026;15:29:47;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;14833;461.842;15.569;0.0;7;"axes=X; Scur=1.0000; Ssum=15.5689; lambda=1.0000"
25.04.2026;15:29:48;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;15833;445.328;17.4;0.0;8;"axes=X; Scur=1.0000; Ssum=17.4003; lambda=1.0000"
25.04.2026;15:29:49;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;16565;446.501;19.402;0.0;9;"axes=X; Scur=1.0000; Ssum=19.4023; lambda=1.0000"
25.04.2026;15:29:51;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;19156;-446.352;21.693;0.0;10;"axes=X; Scur=1.0000; Ssum=21.6933; lambda=1.0000"
25.04.2026;15:29:56;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;23594;469.337;25.663;0.0;11;"axes=X; Scur=1.0000; Ssum=25.6628; lambda=1.0000"
25.04.2026;15:30:01;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;1;crash;28784;452.528;30.465;0.0;12;"axes=X; Scur=1.0000; Ssum=30.4653; lambda=1.0000"
25.04.2026;15:30:02;ку;44;Мужской;20260425_152928_138297;stage_report;method_a;method_a_stage;1;stage_end;30014;1.0;0.2667;0.0;12;"axes=X; gamma=0.7333; h=0.2667; tr=0.0000"
25.04.2026;15:30:02;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;2;stage_start;;;;;;axes=X,Y
25.04.2026;15:30:13;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;2;crash;10315;-448.003;11.578;0.0;1;"axes=X,Y; Scur=1.1072; Ssum=11.5778; lambda=1.6499"
25.04.2026;15:30:14;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;2;crash;11069;-451.972;12.664;0.0;2;"axes=X,Y; Scur=1.0000; Ssum=12.6637; lambda=1.4142"
25.04.2026;15:30:16;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;2;crash;13060;463.865;16.938;0.0;3;"axes=X,Y; Scur=1.0995; Ssum=16.9381; lambda=1.4142"
25.04.2026;15:30:17;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;2;crash;14218;445.581;19.283;0.0;4;"axes=X,Y; Scur=1.2511; Ssum=19.2835; lambda=1.4142"
25.04.2026;15:30:20;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;2;crash;16632;446.378;21.378;0.0;5;"axes=X,Y; Scur=1.0299; Ssum=21.3781; lambda=1.4142"
25.04.2026;15:30:24;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;2;crash;21314;-197.538;35.872;0.0;6;"axes=X,Y; Scur=1.0538; Ssum=35.8722; lambda=1.4142"
25.04.2026;15:30:32;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;2;crash;29377;-445.634;46.397;0.0;7;"axes=X,Y; Scur=1.0000; Ssum=46.3968; lambda=1.4142"
25.04.2026;15:30:38;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;2;crash;35378;266.193;54.85;0.0;8;"axes=X,Y; Scur=1.1259; Ssum=54.8498; lambda=1.4142"
25.04.2026;15:30:43;ку;44;Мужской;20260425_152928_138297;stage_report;method_a;method_a_stage;2;stage_end;40002;1.4172;0.2907;0.1005;8;"axes=X,Y; gamma=0.7093; h=0.2907; tr=0.1005"
25.04.2026;15:30:43;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;stage_start;;;;;;axes=X,Y,Z
25.04.2026;15:30:49;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;4693;348.27;8.082;-28.158;1;"axes=X,Y,Z; Scur=1.0689; Ssum=8.0822; lambda=1.7321"
25.04.2026;15:30:53;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;9383;192.335;13.408;-28.14;2;"axes=X,Y,Z; Scur=0.4195; Ssum=13.4080; lambda=1.7321"
25.04.2026;15:30:54;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;9981;-461.686;14.004;-3.588;3;"axes=X,Y,Z; Scur=1.0000; Ssum=14.0042; lambda=1.7321"
25.04.2026;15:30:55;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;10688;484.418;14.367;-4.242;4;"axes=X,Y,Z; Scur=1.0003; Ssum=14.3672; lambda=1.7321"
25.04.2026;15:30:56;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;11760;459.101;15.841;-6.432;5;"axes=X,Y,Z; Scur=1.0068; Ssum=15.8412; lambda=1.7321"
25.04.2026;15:31:02;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;17968;-446.066;29.393;6.69;6;"axes=X,Y,Z; Scur=1.0108; Ssum=29.3926; lambda=1.7321"
25.04.2026;15:31:08;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;23975;-445.783;41.241;-10.938;7;"axes=X,Y,Z; Scur=1.0626; Ssum=41.2409; lambda=1.7321"
25.04.2026;15:31:13;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;28658;174.617;45.605;-28.098;8;"axes=X,Y,Z; Scur=0.8167; Ssum=45.6053; lambda=1.7321"
25.04.2026;15:31:19;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;34662;445.56;60.247;6.744;9;"axes=X,Y,Z; Scur=1.4142; Ssum=60.2472; lambda=1.7321"
25.04.2026;15:31:27;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;42783;-448.801;70.715;-19.05;10;"axes=X,Y,Z; Scur=1.0064; Ssum=70.7146; lambda=1.7321"
25.04.2026;15:31:29;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;45269;-28.868;75.013;90.199;11;"axes=X,Y,Z; Scur=1.3296; Ssum=75.0130; lambda=1.7321"
25.04.2026;15:31:33;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;49290;460.85;76.896;18.918;12;"axes=X,Y,Z; Scur=1.0110; Ssum=76.8957; lambda=1.7321"
25.04.2026;15:31:35;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;50931;450.421;81.606;9.846;13;"axes=X,Y,Z; Scur=1.1909; Ssum=81.6060; lambda=1.7321"
25.04.2026;15:31:36;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;51908;451.303;82.187;5.862;14;"axes=X,Y,Z; Scur=1.2033; Ssum=82.1873; lambda=1.7321"
25.04.2026;15:31:37;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;52715;-486.601;82.355;4.842;15;"axes=X,Y,Z; Scur=1.0093; Ssum=82.3546; lambda=1.7321"
25.04.2026;15:31:38;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;53876;455.226;82.355;6.966;16;"axes=X,Y,Z; Scur=1.0088; Ssum=82.3546; lambda=1.7321"
25.04.2026;15:31:39;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;54820;485.536;82.369;5.664;17;"axes=X,Y,Z; Scur=1.0000; Ssum=82.3685; lambda=1.7321"
25.04.2026;15:31:39;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;55031;446.112;83.866;1.266;18;"axes=X,Y,Z; Scur=1.0119; Ssum=83.8662; lambda=1.7321"
25.04.2026;15:31:39;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;55226;447.919;83.866;1.17;19;"axes=X,Y,Z; Scur=1.0004; Ssum=83.8662; lambda=1.7321"
25.04.2026;15:31:41;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;56613;66.922;85.775;8.316;20;"axes=X,Y,Z; Scur=1.0000; Ssum=85.7747; lambda=1.7321"
25.04.2026;15:31:43;ку;44;Мужской;20260425_152928_138297;stage_event;method_a;method_a_stage;3;crash;59371;-111.243;90.792;16.548;21;"axes=X,Y,Z; Scur=1.0083; Ssum=90.7921; lambda=1.7321"
25.04.2026;15:31:44;ку;44;Мужской;20260425_152928_138297;stage_report;method_a;method_a_stage;3;stage_end;60010;1.7321;0.2428;0.0;21;"axes=X,Y,Z; gamma=0.7572; h=0.2428; tr=0.0000"
25.04.2026;15:31:44;ку;44;Мужской;20260425_152928_138297;method_session;method_a;method_a;;completed;;;;;;json=method_a_results_20260425_152928_138297.json
25.04.2026;15:31:46;ку;44;Мужской;20260425_152928_138297;summary;test_menu;method_a;;session_finished;;;;;3;Методика А завершена, данные добавлены в participants.csv и user_progress.json
25.04.2026;15:31:48;ку;44;Мужской;20260425_152928_138297;menu_event;test_menu;test_a;;marked_completed;;;;;;Тест А завершён и сохранён.
25.04.2026;15:36:58;еап;44;Мужской;20260425_153658_390106;registration;start_page;;;submit;;;;;;Регистрационная форма принята. completed=-
25.04.2026;15:36:58;еап;44;Мужской;20260425_153658_390106;menu_event;test_menu;;;open_menu;;;;;;next=A
25.04.2026;15:36:59;еап;44;Мужской;20260425_153658_390106;menu_event;test_menu;test_a;;launch_requested;;;;;;Слежение за объектом
25.04.2026;15:37:01;еап;44;Мужской;20260425_153658_390106;method_session;method_a;method_a;;launch;;;;;;"Крен управляется колесом мыши; фон неба и объект-самолёт активированы"
25.04.2026;15:37:01;еап;44;Мужской;20260425_153658_390106;stage_event;method_a;method_a_stage;1;stage_start;;;;;;axes=X
25.04.2026;15:37:09;еап;44;Мужской;20260425_153658_390106;stage_event;method_a;method_a_stage;1;crash;6894;484.657;6.001;0.0;1;"axes=X; Scur=1.0000; Ssum=6.0006; lambda=1.0000"
